ward_id,ward_name,ward_number,ward_type,centroid_lon,centroid_lat,district,historical_annual_avg_mm,current_jan2026_mm,climate_normal_jan_mm,climate_normal_feb_mm,climate_normal_mar_mm,climate_normal_apr_mm,climate_normal_may_mm,climate_normal_jun_mm,climate_normal_jul_mm,climate_normal_aug_mm,climate_normal_sep_mm,climate_normal_oct_mm,climate_normal_nov_mm,climate_normal_dec_mm,rainfall_zone,is_urban_core,proximity_to_yamuna_km
DEL_224,PANDAV NAGAR,224,MCD,77.278389783,28.6207653625,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,4.0
DEL_225,ANAND VIHAR,225,MCD,77.308573177,28.6569061215,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,2.0
DEL_226,VISHWASH NAGAR,226,MCD,77.294806495,28.6616359225,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,2.8
DEL_227,I.P EXTENTION,227,MCD,77.3143628185,28.6382768515,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,3.5
DEL_228,PREET VIHAR,228,MCD,77.295412858,28.640831657,EAST DELHI,715.1,19.0,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,East,1,3.2
DEL_229,KRISHNA  NAGAR,229,MCD,77.276696459,28.6536150715,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,1.5
DEL_230,GEETA COLONY,230,MCD,77.2742440585,28.6493111685,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.0
DEL_231,GHONDLI,231,MCD,77.283577554,28.6502177295,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.2
DEL_232,ANARKALI,232,MCD,77.2900723735,28.650296654,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,2.0
DEL_233,DHARAMPURA,233,MCD,77.2586313385,28.6665545395,NORTH EAST DELHI,698.7,20.2,19.0,20.0,15.0,21.0,25.0,70.0,237.0,235.0,113.0,17.0,9.0,9.0,North,1,1.8
